"Id","LotArea","Neighborhood","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MoSold","YrSold","SalePrice"
1,8450,"CollgCr","1Fam",7,5,2003,2003,2,2008,208500
2,9600,"Veenker","1Fam",6,8,1976,1976,5,2007,181500
3,11250,"CollgCr","1Fam",7,5,2001,2002,9,2008,223500
4,9550,"Crawfor","1Fam",7,5,1915,1970,2,2006,140000
5,14260,"NoRidge","1Fam",8,5,2000,2000,12,2008,250000
6,14115,"Mitchel","1Fam",5,5,1993,1995,10,2009,143000
7,10084,"Somerst","1Fam",8,5,2004,2005,8,2007,307000
8,10382,"NWAmes","1Fam",7,6,1973,1973,11,2009,200000
9,6120,"OldTown","1Fam",7,5,1931,1950,4,2008,129900
10,7420,"BrkSide","2fmCon",5,6,1939,1950,1,2008,118000
11,11200,"Sawyer","1Fam",5,5,1965,1965,2,2008,129500
12,11924,"NridgHt","1Fam",9,5,2005,2006,7,2006,345000
13,12968,"Sawyer","1Fam",5,6,1962,1962,9,2008,144000
14,10652,"CollgCr","1Fam",7,5,2006,2007,8,2007,279500
15,10920,"NAmes","1Fam",6,5,1960,1960,5,2008,157000
16,6120,"BrkSide","1Fam",7,8,1929,2001,7,2007,132000
17,11241,"NAmes","1Fam",6,7,1970,1970,3,2010,149000
18,10791,"Sawyer","Duplex",4,5,1967,1967,10,2006,90000
19,13695,"SawyerW","1Fam",5,5,2004,2004,6,2008,159000
20,7560,"NAmes","1Fam",5,6,1958,1965,5,2009,139000
21,14215,"NridgHt","1Fam",8,5,2005,2006,11,2006,325300
22,7449,"IDOTRR","1Fam",7,7,1930,1950,6,2007,139400
23,9742,"CollgCr","1Fam",8,5,2002,2002,9,2008,230000
24,4224,"MeadowV","TwnhsE",5,7,1976,1976,6,2007,129900
25,8246,"Sawyer","1Fam",5,8,1968,2001,5,2010,154000
26,14230,"NridgHt","1Fam",8,5,2007,2007,7,2009,256300
27,7200,"NAmes","1Fam",5,7,1951,2000,5,2010,134800
28,11478,"NridgHt","1Fam",8,5,2007,2008,5,2010,306000
29,16321,"NAmes","1Fam",5,6,1957,1997,12,2006,207500
30,6324,"BrkSide","1Fam",4,6,1927,1950,5,2008,68500
31,8500,"IDOTRR","1Fam",4,4,1920,1950,7,2008,40000
32,8544,"Sawyer","1Fam",5,6,1966,2006,6,2008,149350
33,11049,"CollgCr","1Fam",8,5,2007,2007,1,2008,179900
34,10552,"NAmes","1Fam",5,5,1959,1959,4,2010,165500
35,7313,"NridgHt","TwnhsE",9,5,2005,2005,8,2007,277500
36,13418,"NridgHt","1Fam",8,5,2004,2005,9,2006,309000
37,10859,"CollgCr","1Fam",5,5,1994,1995,6,2009,145000
38,8532,"NAmes","1Fam",5,6,1954,1990,10,2009,153000
39,7922,"NAmes","1Fam",5,7,1953,2007,1,2010,109000
40,6040,"Edwards","Duplex",4,5,1955,1955,6,2008,82000
41,8658,"NAmes","1Fam",6,5,1965,1965,12,2006,160000
42,16905,"Timber","1Fam",5,6,1959,1959,7,2007,170000
43,9180,"SawyerW","1Fam",5,7,1983,1983,12,2007,144000
44,9200,"CollgCr","1Fam",5,6,1975,1980,7,2008,130250
45,7945,"NAmes","1Fam",5,6,1959,1959,5,2006,141000
46,7658,"NridgHt","TwnhsE",9,5,2005,2005,2,2010,319900
47,12822,"Mitchel","1Fam",7,5,2003,2003,8,2009,239686
48,11096,"Somerst","1Fam",8,5,2006,2006,7,2007,249700
49,4456,"OldTown","2fmCon",4,5,1920,2008,6,2009,113000
50,7742,"Sawyer","1Fam",5,7,1966,1966,1,2007,127000
51,13869,"Gilbert","1Fam",6,6,1997,1997,7,2007,177000
52,6240,"BrkSide","1Fam",6,6,1934,1950,9,2006,114500
53,8472,"IDOTRR","Duplex",5,5,1963,1963,5,2010,110000
54,50271,"Veenker","1Fam",9,5,1981,1987,11,2006,385000
55,7134,"NAmes","1Fam",5,5,1955,1955,2,2007,130000
56,10175,"NAmes","1Fam",6,5,1964,1964,7,2008,180500
57,2645,"Somerst","Twnhs",8,5,1999,2000,8,2009,172500
58,11645,"CollgCr","1Fam",7,5,2004,2004,8,2006,196500
59,13682,"StoneBr","1Fam",10,5,2006,2006,10,2006,438780
60,7200,"CollgCr","1Fam",5,7,1972,1972,1,2008,124900
61,13072,"SawyerW","1Fam",6,5,2004,2004,5,2006,158000
62,7200,"IDOTRR","1Fam",5,7,1920,1996,3,2007,101000
63,6442,"NridgHt","TwnhsE",8,5,2006,2006,10,2007,202500
64,10300,"OldTown","1Fam",7,6,1921,1950,4,2010,140000
65,9375,"CollgCr","1Fam",7,5,1997,1998,2,2009,219500
66,9591,"NridgHt","1Fam",8,5,2004,2005,10,2007,317000
67,19900,"NAmes","1Fam",7,5,1970,1989,7,2010,180000
68,10665,"CollgCr","1Fam",7,5,2003,2003,6,2007,226000
69,4608,"OldTown","1Fam",4,6,1945,1950,6,2010,80000
70,15593,"ClearCr","1Fam",7,4,1953,1953,7,2006,225000
71,13651,"NAmes","1Fam",7,6,1973,1973,2,2007,244000
72,7599,"Mitchel","1Fam",4,6,1982,2006,6,2007,129500
73,10141,"Gilbert","1Fam",7,5,1998,1998,12,2009,185000
74,10200,"NAmes","1Fam",5,7,1954,2003,5,2010,144900
75,5790,"OldTown","1Fam",3,6,1915,1950,5,2010,107400
76,1596,"MeadowV","Twnhs",4,5,1973,1973,11,2009,91000
77,8475,"NAmes","1Fam",4,7,1956,1956,4,2008,135750
78,8635,"BrkSide","1Fam",5,5,1948,2001,1,2008,127000
79,10778,"Sawyer","Duplex",4,5,1968,1968,4,2010,136500
80,10440,"OldTown","1Fam",5,6,1910,1981,5,2009,110000
81,13000,"NAmes","1Fam",6,6,1968,1968,6,2009,193500
82,4500,"Mitchel","TwnhsE",6,5,1998,1998,3,2006,153500
83,10206,"Somerst","1Fam",8,5,2007,2007,10,2008,245000
84,8892,"NAmes","1Fam",5,5,1960,1960,7,2007,126500
85,8530,"Gilbert","1Fam",7,5,1995,1996,5,2009,168500
86,16059,"NoRidge","1Fam",8,5,1991,1992,4,2006,260000
87,11911,"Gilbert","1Fam",6,5,2005,2005,3,2009,174000
88,3951,"Somerst","TwnhsE",6,5,2009,2009,6,2009,164500
89,8470,"IDOTRR","1Fam",3,2,1915,1982,10,2009,85000
90,8070,"CollgCr","1Fam",4,5,1994,1995,8,2007,123600
91,7200,"NAmes","1Fam",4,5,1950,1950,7,2006,109900
92,8500,"NAmes","1Fam",5,3,1961,1961,12,2006,98600
93,13360,"Crawfor","1Fam",5,7,1921,2006,8,2009,163500
94,7200,"OldTown","2fmCon",6,6,1910,1998,11,2007,133900
95,9337,"CollgCr","1Fam",6,5,1997,1997,5,2007,204750
96,9765,"Gilbert","1Fam",6,8,1993,1993,4,2009,185000
97,10264,"CollgCr","1Fam",7,5,1999,1999,8,2006,214000
98,10921,"Edwards","1Fam",4,5,1965,1965,5,2007,94750
99,10625,"Edwards","1Fam",5,5,1920,1950,5,2010,83000
100,9320,"NAmes","1Fam",4,5,1959,1959,1,2010,128950
101,10603,"NWAmes","1Fam",6,7,1977,2001,2,2010,205000
102,9206,"SawyerW","1Fam",6,5,1985,1985,6,2010,178000
103,7018,"SawyerW","Duplex",5,5,1979,1979,6,2009,118964
104,10402,"CollgCr","1Fam",7,5,2009,2009,5,2010,198900
105,7758,"IDOTRR","1Fam",7,4,1931,1950,6,2007,169500
106,9375,"Somerst","1Fam",8,5,2003,2004,8,2008,250000
107,10800,"OldTown","1Fam",4,7,1885,1995,8,2007,100000
108,6000,"OldTown","1Fam",5,5,1948,1950,4,2008,115000
109,8500,"IDOTRR","1Fam",5,7,1919,2005,8,2007,115000
110,11751,"NWAmes","1Fam",6,6,1977,1977,1,2010,190000
111,9525,"Edwards","1Fam",6,4,1954,1972,10,2006,136900
112,7750,"Gilbert","1Fam",7,5,2000,2000,4,2010,180000
113,9965,"CollgCr","1Fam",7,5,2007,2007,10,2007,383970
114,21000,"Crawfor","1Fam",6,5,1953,1953,10,2007,217000
115,7259,"Crawfor","1Fam",6,8,1945,2002,7,2007,259500
116,3230,"Somerst","TwnhsE",6,5,1999,1999,6,2007,176000
117,11616,"Sawyer","1Fam",5,5,1962,1962,9,2009,139000
118,8536,"Edwards","1Fam",5,5,2006,2007,4,2007,155000
119,12376,"SawyerW","1Fam",7,5,1990,1990,5,2010,320000
120,8461,"CollgCr","1Fam",6,5,2005,2006,7,2006,163990
121,21453,"ClearCr","1Fam",6,5,1969,1969,10,2006,180000
122,6060,"IDOTRR","1Fam",4,5,1939,1950,6,2007,100000
123,9464,"NAmes","1Fam",6,7,1958,1958,6,2008,136000
124,7892,"SawyerW","TwnhsE",6,5,1993,1993,3,2008,153900
125,17043,"NWAmes","1Fam",6,5,1979,1998,1,2009,181000
126,6780,"IDOTRR","2fmCon",6,8,1935,1982,6,2006,84500
127,4928,"NPkVill","TwnhsE",6,5,1976,1976,2,2007,128000
128,4388,"OldTown","1Fam",5,7,1930,1950,6,2007,87000
129,7590,"NAmes","1Fam",6,5,1966,1966,7,2006,155000
130,8973,"NAmes","1Fam",5,7,1958,1991,7,2006,150000
131,14200,"NAmes","1Fam",7,6,1966,1966,5,2006,226000
132,12224,"Gilbert","1Fam",6,5,2000,2000,7,2009,244000
133,7388,"NAmes","1Fam",5,6,1959,2002,7,2007,150750
134,6853,"Timber","1Fam",8,5,2001,2002,6,2009,220000
135,10335,"Sawyer","1Fam",5,6,1968,1993,7,2006,180000
136,10400,"NWAmes","1Fam",7,6,1970,1970,5,2008,174000
137,10355,"NAmes","1Fam",5,5,1967,1967,7,2007,143000
138,11070,"Mitchel","Duplex",7,5,1988,1989,7,2006,171000
139,9066,"CollgCr","1Fam",8,5,1999,2000,12,2008,230000
140,15426,"CollgCr","1Fam",6,5,1997,1997,8,2009,231500
141,10500,"NAmes","1Fam",4,5,1971,1971,4,2010,115000
142,11645,"CollgCr","1Fam",7,5,2005,2005,1,2006,260000
143,8520,"NAmes","1Fam",5,4,1952,1952,6,2010,166000
144,10335,"CollgCr","1Fam",7,5,1999,1999,6,2009,204000
145,9100,"Sawyer","Duplex",5,5,1963,1963,11,2006,125000
146,2522,"Edwards","Twnhs",6,5,2004,2006,4,2006,130000
147,6120,"BrkSide","1Fam",5,7,1931,1993,11,2009,105000
148,9505,"Gilbert","1Fam",7,5,2001,2001,5,2010,222500
149,7500,"SawyerW","1Fam",7,5,2004,2005,4,2008,141000
150,6240,"BrkSide","1Fam",5,4,1936,1950,4,2006,115000
151,10356,"CollgCr","1Fam",5,6,1975,1975,1,2007,122000
152,13891,"NridgHt","1Fam",8,5,2007,2008,1,2008,372402
153,14803,"NWAmes","1Fam",6,5,1971,1971,6,2006,190000
154,13500,"ClearCr","1Fam",6,7,1960,1975,3,2008,235000
155,11340,"OldTown","1Fam",6,5,1923,1950,3,2006,125000
156,9600,"Edwards","1Fam",6,5,1924,1950,4,2008,79000
157,7200,"NAmes","1Fam",5,7,1950,1950,6,2006,109500
158,12003,"Timber","1Fam",8,5,2009,2010,5,2010,269500
159,12552,"Somerst","1Fam",7,5,2004,2005,5,2010,254900
160,19378,"Gilbert","1Fam",7,5,2005,2006,3,2006,320000
161,11120,"Veenker","1Fam",6,6,1984,1984,6,2008,162500
162,13688,"NridgHt","1Fam",9,5,2003,2004,3,2008,412500
163,12182,"NridgHt","1Fam",7,5,2005,2005,5,2010,220000
164,5500,"OldTown","1Fam",4,6,1956,1956,4,2007,103200
165,5400,"OldTown","1Fam",6,7,1926,2004,10,2007,152000
166,10106,"Edwards","2fmCon",5,7,1940,1999,9,2008,127500
167,10708,"ClearCr","1Fam",5,5,1955,1993,11,2009,190000
168,10562,"NridgHt","1Fam",8,5,2007,2007,11,2007,325624
169,8244,"Gilbert","1Fam",7,5,2004,2004,5,2007,183500
170,16669,"Timber","1Fam",8,6,1981,1981,1,2006,228000
171,12358,"OldTown","1Fam",5,6,1941,1950,5,2007,128500
172,31770,"NAmes","1Fam",6,5,1960,1960,5,2010,215000
173,5306,"StoneBr","TwnhsE",7,7,1987,1987,6,2006,239000
174,10197,"NAmes","1Fam",6,5,1961,1961,6,2008,163000
175,12416,"Timber","1Fam",6,5,1986,1986,11,2008,184000
176,12615,"Edwards","1Fam",6,7,1950,2001,6,2007,243000
177,10029,"ClearCr","1Fam",6,5,1988,1989,9,2007,211000
178,13650,"Sawyer","1Fam",5,5,1958,1958,7,2006,172500
179,17423,"StoneBr","1Fam",9,5,2008,2009,7,2009,501837
180,8520,"OldTown","1Fam",5,6,1923,2006,7,2007,100000
181,2117,"Somerst","Twnhs",6,5,2000,2000,6,2007,177000
182,7588,"Crawfor","1Fam",7,6,1920,1950,7,2006,200100
183,9060,"Edwards","1Fam",5,6,1957,2006,6,2007,120000
184,11426,"OldTown","1Fam",7,5,2003,2003,6,2008,200000
185,7438,"BrkSide","1Fam",5,8,1908,1991,6,2006,127000
186,22950,"OldTown","1Fam",10,9,1892,1993,6,2006,475000
187,9947,"Mitchel","1Fam",7,5,1990,1991,6,2009,173000
188,10410,"OldTown","1Fam",5,7,1916,1987,8,2009,135000
189,7018,"SawyerW","Duplex",5,5,1979,1979,6,2009,153337
190,4923,"StoneBr","TwnhsE",8,5,2001,2002,8,2008,286000
191,10570,"Crawfor","1Fam",8,8,1932,1994,12,2007,315000
192,7472,"NAmes","1Fam",7,9,1972,2004,6,2007,184000
193,9017,"CollgCr","1Fam",7,5,1999,1999,9,2009,192000
194,2522,"Edwards","Twnhs",7,5,2004,2004,5,2006,130000
195,7180,"CollgCr","1Fam",5,7,1972,1972,5,2008,127000
196,2280,"NPkVill","Twnhs",6,6,1976,1976,7,2009,148500
197,9416,"Somerst","1Fam",7,5,2007,2007,9,2007,311872
198,25419,"NAmes","1Fam",8,4,1918,1990,3,2006,235000
199,5520,"OldTown","1Fam",6,6,1912,1950,7,2009,104000
200,9591,"NridgHt","1Fam",8,5,2004,2005,1,2009,274900
201,8546,"Edwards","1Fam",4,5,2003,2004,3,2010,140000
202,10125,"Mitchel","1Fam",6,6,1977,1977,2,2008,171500
203,7000,"OldTown","1Fam",6,6,1924,1950,5,2006,112000
204,4438,"CollgCr","TwnhsE",6,5,2004,2004,1,2008,149000
205,3500,"OldTown","1Fam",5,7,1947,1950,4,2009,110000
206,11851,"Gilbert","1Fam",7,5,1990,1990,5,2009,180500
207,13673,"Sawyer","1Fam",5,5,1962,1962,3,2007,143900
208,12493,"NAmes","1Fam",4,5,1960,1960,4,2008,141000
209,14364,"SawyerW","1Fam",7,5,1988,1989,4,2007,277000
210,8250,"NAmes","1Fam",6,7,1964,1964,7,2008,145000
211,5604,"Edwards","1Fam",5,6,1925,1950,4,2008,98000
212,10420,"Edwards","1Fam",6,5,2009,2009,3,2010,186000
213,8640,"Somerst","1Fam",7,5,2009,2009,7,2009,252678
214,13568,"CollgCr","1Fam",5,5,1995,1995,7,2006,156000
215,10900,"CollgCr","1Fam",6,7,1977,1977,3,2010,161750
216,10011,"NAmes","1Fam",5,6,1957,1996,5,2006,134450
217,8450,"CollgCr","1Fam",7,5,2004,2004,4,2008,210000
218,9906,"OldTown","1Fam",4,4,1925,1950,9,2006,107000
219,15660,"Crawfor","1Fam",7,9,1939,2006,5,2008,311500
220,3010,"Blmngtn","TwnhsE",7,5,2005,2006,3,2006,167240
221,8990,"CollgCr","1Fam",7,5,2006,2006,4,2006,204900
222,8068,"Gilbert","1Fam",6,5,2002,2002,12,2009,200000
223,11475,"NWAmes","1Fam",6,6,1975,1975,2,2006,179900
224,10500,"NAmes","1Fam",4,6,1971,1971,3,2009,97000
225,13472,"NridgHt","1Fam",10,5,2003,2003,6,2009,386250
226,1680,"BrDale","Twnhs",5,5,1971,1971,5,2009,112000
227,9950,"NoRidge","1Fam",7,5,1995,1995,6,2007,290000
228,1869,"BrDale","Twnhs",6,6,1970,1970,9,2008,106000
229,8521,"Sawyer","1Fam",5,5,1967,1967,5,2010,125000
230,3182,"Blmngtn","TwnhsE",7,5,2005,2006,5,2009,192500
231,8760,"NAmes","1Fam",6,6,1959,1959,4,2010,148000
232,15138,"NoRidge","1Fam",8,5,1995,1996,7,2009,403000
233,1680,"BrDale","Twnhs",6,5,1972,1972,6,2006,94500
234,10650,"CollgCr","1Fam",5,6,1976,1976,2,2010,128200
235,7851,"Gilbert","1Fam",6,5,2002,2002,5,2010,216500
236,1680,"BrDale","TwnhsE",6,3,1971,1971,8,2008,89500
237,8773,"CollgCr","1Fam",7,5,2004,2004,5,2010,185500
238,9453,"SawyerW","1Fam",7,7,1993,2003,2,2010,194500
239,12030,"NridgHt","1Fam",8,5,2007,2007,12,2007,318000
240,8741,"Edwards","1Fam",6,4,1945,1950,4,2010,113000
241,9000,"Somerst","1Fam",8,5,2008,2008,4,2010,262500
242,3880,"OldTown","1Fam",5,9,1945,1997,8,2007,110500
243,5000,"OldTown","1Fam",5,4,1900,1950,4,2006,79000
244,10762,"SawyerW","TwnhsE",6,6,1980,1980,4,2009,120000
245,8880,"SawyerW","1Fam",7,5,1994,2002,5,2010,205000
246,10400,"NWAmes","1Fam",7,5,1988,1988,6,2006,241500
247,9142,"OldTown","2fmCon",6,8,1910,1950,4,2006,137000
248,11310,"NAmes","1Fam",6,5,1954,1954,6,2006,140000
249,11317,"CollgCr","1Fam",7,5,2003,2003,9,2007,180000
250,159000,"ClearCr","1Fam",6,7,1958,2006,6,2007,277000
251,5350,"BrkSide","1Fam",3,2,1940,1966,5,2010,76500
252,4750,"Crawfor","TwnhsE",8,5,2006,2007,12,2007,235000
253,8366,"SawyerW","1Fam",6,5,2004,2004,12,2008,173000
254,9350,"NAmes","1Fam",6,7,1964,1991,10,2007,158000
255,8400,"NAmes","1Fam",5,6,1957,1957,6,2010,145000
256,8738,"Gilbert","1Fam",7,5,1999,1999,2,2006,230000
257,8791,"Somerst","1Fam",6,5,2003,2003,5,2008,207500
258,8814,"CollgCr","1Fam",7,5,2006,2006,3,2009,220000
259,12435,"CollgCr","1Fam",7,5,2001,2001,5,2008,231500
260,12702,"OldTown","1Fam",5,5,1956,1956,12,2008,97000
261,19296,"NAmes","1Fam",6,5,1962,1962,5,2009,176000
262,9588,"CollgCr","1Fam",8,5,2007,2007,11,2007,276000
263,8471,"Sawyer","1Fam",6,7,1977,1995,7,2006,151000
264,5500,"OldTown","1Fam",5,7,1929,2001,4,2010,130000
265,5232,"OldTown","1Fam",5,5,1925,2004,6,2008,73000
266,12090,"NWAmes","1Fam",6,6,1981,1981,6,2008,175500
267,11207,"Gilbert","1Fam",6,5,1997,1997,6,2006,185000
268,8400,"SWISU","1Fam",5,8,1939,1997,7,2008,179500
269,6900,"IDOTRR","1Fam",5,6,1940,1955,2,2008,120500
270,7917,"Edwards","1Fam",6,7,1976,1976,5,2007,148000
271,10728,"Somerst","1Fam",8,5,2006,2006,8,2006,266000
272,39104,"ClearCr","1Fam",7,7,1954,2005,4,2008,241500
273,11764,"NoRidge","1Fam",8,7,1999,2007,4,2010,290000
274,9600,"NAmes","1Fam",6,6,1958,1988,4,2009,139000
275,8314,"Mitchel","1Fam",5,7,1982,1982,6,2007,124500
276,7264,"BrkSide","1Fam",7,7,1925,2007,10,2009,205000
277,9196,"Mitchel","1Fam",7,5,2003,2003,4,2010,201000
278,19138,"Gilbert","1Fam",4,5,1951,1951,6,2010,141000
279,14450,"NridgHt","1Fam",9,5,2006,2007,5,2007,415298
280,10005,"ClearCr","1Fam",7,5,1977,1977,3,2008,192000
281,11287,"SawyerW","1Fam",7,6,1989,1989,1,2007,228500
282,7200,"Somerst","1Fam",6,5,2006,2006,5,2006,185000
283,5063,"NridgHt","Twnhs",7,5,2007,2008,4,2009,207500
284,9612,"Somerst","1Fam",8,5,2008,2009,12,2009,244600
285,8012,"SawyerW","TwnhsE",6,5,1992,1992,7,2007,179200
286,4251,"Somerst","TwnhsE",7,5,2006,2007,6,2007,164700
287,9786,"NAmes","1Fam",6,7,1962,1981,6,2006,159000
288,8125,"NAmes","1Fam",4,4,1971,1971,6,2006,88000
289,9819,"Sawyer","1Fam",5,5,1967,1967,2,2010,122000
290,8730,"BrkSide","1Fam",6,7,1915,2003,7,2007,153575
291,15611,"CollgCr","1Fam",8,5,2006,2006,7,2006,233230
292,5687,"SWISU","2fmCon",5,6,1912,2000,3,2008,135900
293,11409,"Edwards","1Fam",5,4,1949,2008,1,2009,131000
294,16659,"NWAmes","1Fam",7,7,1977,1994,3,2006,235000
295,9600,"NAmes","1Fam",6,5,1953,1953,10,2009,167000
296,7937,"Mitchel","1Fam",6,6,1984,1984,3,2006,142500
297,13710,"IDOTRR","1Fam",5,5,1950,1950,6,2007,152000
298,7399,"Somerst","1Fam",7,5,1997,1998,6,2007,239000
299,11700,"NWAmes","1Fam",6,6,1968,1968,6,2007,175000
300,14000,"Crawfor","1Fam",6,8,1950,2004,8,2009,158500
301,15750,"Crawfor","2fmCon",5,5,1953,1953,6,2006,157000
302,16226,"CollgCr","1Fam",8,5,1998,1999,5,2007,267000
303,13704,"CollgCr","1Fam",7,5,2001,2002,1,2006,205000
304,9800,"CollgCr","1Fam",5,7,1972,1972,7,2006,149900
305,18386,"OldTown","1Fam",7,9,1880,2002,5,2008,295000
306,10386,"CollgCr","1Fam",8,5,2004,2005,7,2007,305900
307,13474,"SawyerW","1Fam",7,5,1990,1991,6,2007,225000
308,7920,"IDOTRR","1Fam",6,7,1920,1950,3,2008,89500
309,12342,"Edwards","1Fam",4,5,1940,1950,3,2009,82500
310,12378,"NridgHt","1Fam",9,5,2003,2004,11,2006,360000
311,7685,"Gilbert","1Fam",6,5,1993,1994,5,2006,165600
312,8000,"NAmes","1Fam",6,6,1948,2002,5,2009,132000
313,7800,"OldTown","2fmCon",5,7,1939,1950,5,2006,119900
314,215245,"Timber","1Fam",7,5,1965,1965,6,2009,375000
315,9600,"OldTown","1Fam",7,7,1925,1990,8,2006,178000
316,7795,"Gilbert","1Fam",7,5,2004,2005,7,2009,188500
317,13005,"NWAmes","1Fam",7,7,1980,1980,8,2009,260000
318,9000,"Somerst","1Fam",8,5,2006,2006,12,2007,270000
319,9900,"NoRidge","1Fam",7,5,1993,1993,4,2009,260000
320,14115,"NWAmes","1Fam",7,5,1980,1980,6,2009,187500
321,16259,"NridgHt","1Fam",9,5,2006,2006,9,2006,342643
322,12099,"NridgHt","1Fam",8,5,2004,2004,6,2007,354000
323,10380,"SawyerW","1Fam",7,5,1986,1987,8,2007,301000
324,5820,"OldTown","1Fam",3,8,1955,2005,7,2006,126175
325,11275,"NAmes","1Fam",7,7,1967,2007,6,2010,242000
326,5000,"IDOTRR","1Fam",5,6,1941,1950,12,2007,87000
327,10846,"Veenker","TwnhsE",8,5,1993,1993,5,2008,324000
328,11600,"NAmes","1Fam",6,5,1960,1960,4,2006,145250
329,11888,"BrkSide","1Fam",6,6,1916,1994,7,2009,214500
330,6402,"IDOTRR","1Fam",5,5,1920,1950,7,2009,78000
331,10624,"NAmes","Duplex",5,4,1964,1964,11,2007,119000
332,8176,"NAmes","1Fam",5,6,1958,1992,8,2007,139000
333,10655,"NridgHt","1Fam",8,5,2003,2004,10,2009,284000
334,8198,"NridgHt","TwnhsE",7,5,2004,2004,7,2008,207000
335,9042,"Gilbert","1Fam",6,5,1998,1998,7,2008,192000
336,164660,"Timber","2fmCon",5,6,1965,1965,8,2008,228950
337,14157,"StoneBr","1Fam",9,5,2005,2006,7,2007,377426
338,9135,"CollgCr","1Fam",7,5,2002,2003,12,2008,214000
339,14145,"NWAmes","1Fam",7,7,1984,1998,5,2006,202500
340,12400,"NAmes","1Fam",6,7,1958,1998,6,2009,155000
341,14191,"Timber","1Fam",8,5,2002,2002,4,2010,202900
342,8400,"SawyerW","1Fam",4,4,1950,1950,9,2009,82000
343,8544,"NAmes","Duplex",3,4,1949,1950,5,2006,87500
344,8849,"NridgHt","TwnhsE",9,5,2005,2005,7,2008,266000
345,2592,"MeadowV","TwnhsE",5,3,1976,1976,4,2010,85000
346,6435,"BrkSide","1Fam",6,5,1939,1950,10,2006,140200
347,12772,"NAmes","1Fam",6,8,1960,1998,4,2007,151500
348,17600,"NAmes","1Fam",6,5,1960,1960,12,2009,157500
349,2448,"NridgHt","Twnhs",7,5,2003,2004,10,2008,154000
350,20431,"NridgHt","1Fam",9,5,2005,2006,4,2006,437154
351,7820,"NridgHt","TwnhsE",9,5,2007,2007,12,2007,318061
352,5271,"ClearCr","1Fam",7,5,1986,1986,12,2006,190000
353,9084,"Edwards","1Fam",5,6,1941,1950,3,2008,95000
354,8520,"OldTown","1Fam",6,8,1928,2003,5,2010,105900
355,8400,"SWISU","1Fam",6,5,1940,2000,6,2006,140000
356,11249,"CollgCr","1Fam",6,5,1995,1995,8,2007,177500
357,9248,"Gilbert","1Fam",6,6,1992,1992,7,2009,173000
358,4224,"MeadowV","TwnhsE",5,5,1976,1976,8,2007,134000
359,6930,"ClearCr","1Fam",5,4,1958,1958,7,2006,130000
360,12011,"NoRidge","1Fam",8,5,1998,1998,6,2006,280000
361,7540,"Mitchel","1Fam",6,6,1978,1978,6,2007,156000
362,9144,"BrkSide","1Fam",5,5,1940,1982,7,2008,145000
363,7301,"Edwards","1Fam",7,5,2003,2003,7,2009,198500
364,1680,"BrDale","Twnhs",6,8,1972,2007,5,2009,118000
365,18800,"NWAmes","1Fam",6,5,1976,1976,7,2006,190000
366,10690,"IDOTRR","1Fam",5,7,1920,1997,7,2009,147000
